stage,layer,layer_type,layer_category,tensor_type,count,min,max,min_abs_nonzero,empirical_min_spacing,frac_zero,format,verdict,mean_rel_error,max_rel_error,frac_overflow,frac_underflow_of_nonzero,scale
end,bn1,BatchNorm2d,batchnorm,weight,64,0.43794679641723633,0.8218967318534851,0.43794679641723633,7.748603820800781e-07,0.0,FP8_E4M3,Marginal,0.023143264496684773,0.057066948993733775,0.0,0.0,
end,bn1,BatchNorm2d,batchnorm,weight,64,0.43794679641723633,0.8218967318534851,0.43794679641723633,7.748603820800781e-07,0.0,FP8_E5M2,Marginal,0.05200069729722065,0.11077510240503696,0.0,0.0,
end,bn1,BatchNorm2d,batchnorm,weight,64,0.43794679641723633,0.8218967318534851,0.43794679641723633,7.748603820800781e-07,0.0,INT16,Sufficient,9.342386972539692e-06,2.70515357545756e-05,,,2.508306319936171e-05
end,bn1,BatchNorm2d,batchnorm,weight,64,0.43794679641723633,0.8218967318534851,0.43794679641723633,7.748603820800781e-07,0.0,INT8,Sufficient,0.0026189869444797403,0.005811676085815972,,,0.006471627809869962
end,bn1,BatchNorm2d,batchnorm,bias,64,-0.26696717739105225,0.28559163212776184,0.0012592573184520006,5.0514936447143555e-05,0.0,FP16,Sufficient,0.0001923490516710243,0.000455015733542072,0.0,0.0,
end,bn1,BatchNorm2d,batchnorm,bias,64,-0.26696717739105225,0.28559163212776184,0.0012592573184520006,5.0514936447143555e-05,0.0,FP8_E4M3,Marginal,0.03739039072660985,0.5510134198790823,0.0,0.0,
end,bn1,BatchNorm2d,batchnorm,bias,64,-0.26696717739105225,0.28559163212776184,0.0012592573184520006,5.0514936447143555e-05,0.0,FP8_E5M2,Marginal,0.04671290761637934,0.1099234679350103,0.0,0.0,
end,bn1,BatchNorm2d,batchnorm,bias,64,-0.26696717739105225,0.28559163212776184,0.0012592573184520006,5.0514936447143555e-05,0.0,INT16,Sufficient,0.00013503142772702492,0.003317562086345666,,,8.715830931356604e-06
end,bn1,BatchNorm2d,batchnorm,bias,64,-0.26696717739105225,0.28559163212776184,0.0012592573184520006,5.0514936447143555e-05,0.0,INT8,Marginal,0.03170973788930603,0.78577720052038,,,0.0022487530088800144
end,bn1,BatchNorm2d,batchnorm,input,41943040,-6.330824851989746,6.285386085510254,4.776204320933175e-09,2.3283064365386963e-10,0.0,FP16,Sufficient,0.00017719756102566086,0.004873623029752675,0.0,0.0,
end,bn1,BatchNorm2d,batchnorm,input,41943040,-6.330824851989746,6.285386085510254,4.776204320933175e-09,2.3283064365386963e-10,0.0,FP8_E4M3,Marginal,0.02675208691480493,1.0,0.0,0.0021,
end,bn1,BatchNorm2d,batchnorm,input,41943040,-6.330824851989746,6.285386085510254,4.776204320933175e-09,2.3283064365386963e-10,0.0,FP8_E5M2,Marginal,0.04489573267781833,1.0,0.0,0.0001,
end,bn1,BatchNorm2d,batchnorm,input,41943040,-6.330824851989746,6.285386085510254,4.776204320933175e-09,2.3283064365386963e-10,0.0,INT16,Sufficient,0.0010802181727880605,1.0,,,0.0001875947406324195
end,bn1,BatchNorm2d,batchnorm,input,41943040,-6.330824851989746,6.285386085510254,4.776204320933175e-09,2.3283064365386963e-10,0.0,INT8,Not sufficient,0.12031940520965206,1.0,,,0.04840092020710622
end,bn1,BatchNorm2d,batchnorm,activation,41943040,-7.591340065002441,7.349648952484131,1.7158084730795053e-08,3.4924596548080444e-10,0.0,FP16,Sufficient,0.00017476074154578857,0.00048614302299223645,0.0,0.0,
end,bn1,BatchNorm2d,batchnorm,activation,41943040,-7.591340065002441,7.349648952484131,1.7158084730795053e-08,3.4924596548080444e-10,0.0,FP8_E4M3,Marginal,0.02629710662855382,1.0,0.0,0.00195,
